ENTRY_IDX;ENTRY_DATE;CUT_DESC;ALLOC_KG;ENTRY_QTY;PERCENT
0;2025-04-01;CARNE BOV RSF KG ACEM;21,79;3497,108;0,6230862758599391
0;2025-04-01;CARNE BOV RSF KG AGULHA;399,438;3497,108;11,421952081548524
0;2025-04-01;CARNE BOV RSF KG ALCATRA;18,736;3497,108;0,5357569740482707
0;2025-04-01;CARNE BOV RSF KG APARA DO LOMBO;60,474000000000004;3497,108;1,7292574321410719
0;2025-04-01;CARNE BOV RSF KG ASSADO DE TIRAS;82,825;3497,108;2,3683855345617006
0;2025-04-01;CARNE BOV RSF KG BANANINHA;20,372;3497,108;0,5825384860862175
0;2025-04-01;CARNE BOV RSF KG BIFE COX DENTRO;80,48;3497,108;2,301330127636893
0;2025-04-01;CARNE BOV RSF KG BIFE DE ALCATRA;24,624;3497,108;0,7041246652948664
0;2025-04-01;CARNE BOV RSF KG CAPA COX MOLE;27,803;3497,108;0,7950283491387741
0;2025-04-01;CARNE BOV RSF KG CAPA DE FILE;23,082;3497,108;0,6600310885451637
0;2025-04-01;CARNE BOV RSF KG CHULETA;66,15;3497,108;1,8915629714609903
0;2025-04-01;CARNE BOV RSF KG CONTRAFILE;6,545999999999999;3497,108;0,18718323826430294
0;2025-04-01;CARNE BOV RSF KG COSTELA JANELA;161,929;3497,108;4,630368864787704
0;2025-04-01;CARNE BOV RSF KG COSTELA S/OSSO;49,32;3497,108;1,4103081746403028
0;2025-04-01;CARNE BOV RSF KG COXAO DE DENTRO;18,14;3497,108;0,5187143205185543
0;2025-04-01;CARNE BOV RSF KG COXAO DE FORA;26,872;3497,108;0,7684063517626565
0;2025-04-01;CARNE BOV RSF KG ENTRANHA;8,314;3497,108;0,23773929772829433
0;2025-04-01;CARNE BOV RSF KG ENTRECOT;64,761;3497,108;1,8518444383187478
0;2025-04-01;CARNE BOV RSF KG ESP NA CHAPA;14,91;3497,108;0,426352288805493
0;2025-04-01;CARNE BOV RSF KG ESP P/CHURRASCO;46,216;3497,108;1,3215491200157388
0;2025-04-01;CARNE BOV RSF KG FIL-MIGN CORDAO;6,804;3497,108;0,19456076277884468
0;2025-04-01;CARNE BOV RSF KG FILE MIGNON;33,916;3497,108;0,9698299280434003
0;2025-04-01;CARNE BOV RSF KG FRALDINHA;10,986;3497,108;0,31414528804943975
0;2025-04-01;CARNE BOV RSF KG GRANITO;83,459;3497,108;2,386514800229218
0;2025-04-01;CARNE BOV RSF KG MAMINHA;19,662;3497,108;0,5622359961430987
0;2025-04-01;CARNE BOV RSF KG MATAMBRE;10,296;3497,108;0,2944146992314792
0;2025-04-01;CARNE BOV RSF KG MOIDA PRIMEIRA;156,52;3497,108;4,47569820548865
0;2025-04-01;CARNE BOV RSF KG MOIDA SEGUNDA;1247,798;3497,108;35,68085400851218
0;2025-04-01;CARNE BOV RSF KG MUSC DIANTEIRO;32,316;3497,108;0,9240778380307386
0;2025-04-01;CARNE BOV RSF KG MUSC TRASEIRO;5,042;3497,108;0,14417627365240077
0;2025-04-01;CARNE BOV RSF KG OSSO;45,304;3497,108;1,2954704287085215
0;2025-04-01;CARNE BOV RSF KG PALETA;388,0449999999944;3497,108;11,096168605601955
0;2025-04-01;CARNE BOV RSF KG PATINHO;40,2;3497,108;1,14952126156813
0;2025-04-01;CARNE BOV RSF KG PEITO;52,098;3497,108;1,4897452409247869
0;2025-04-01;CARNE BOV RSF KG PICADO DE ACEM;2,446;3497,108;0,06994350760685686
0;2025-04-01;CARNE BOV RSF KG PICADO PRIMEIRA;67,938;3497,108;1,9426909320501395
0;2025-04-01;CARNE BOV RSF KG PICANHA;34,064;3497,108;0,9740619963695716
0;2025-04-01;CARNE BOV RSF KG TATU;16,632;3497,108;0,47559297568162034
0;2025-04-01;CARNE BOV RSF KG VAZIO;20,8;3497,108;0,5947771701646046
1;2025-04-01;CARNE BOV RSF KG ACEM;9,75;1263,0;0,7719714964370546
1;2025-04-01;CARNE BOV RSF KG AGULHA;126,36;1263,0;10,004750593824228
1;2025-04-01;CARNE BOV RSF KG ALCATRA;4,218;1263,0;0,3339667458432304
1;2025-04-01;CARNE BOV RSF KG APARA DO LOMBO;22,054;1263,0;1,7461599366587488
1;2025-04-01;CARNE BOV RSF KG ASSADO DE TIRAS;42,578;1263,0;3,3711797307996836
1;2025-04-01;CARNE BOV RSF KG BANANINHA;6,77;1263,0;0,5360253365003959
1;2025-04-01;CARNE BOV RSF KG BIFE COX DENTRO;30,898;1263,0;2,4463974663499606
1;2025-04-01;CARNE BOV RSF KG BIFE DE ALCATRA;10,99;1263,0;0,8701504354711006
1;2025-04-01;CARNE BOV RSF KG BISTECA;0,842;1263,0;0,06666666666666667
1;2025-04-01;CARNE BOV RSF KG CAPA COX MOLE;19,418;1263,0;1,5374505146476642
1;2025-04-01;CARNE BOV RSF KG CAPA DE FILE;15,088;1263,0;1,194615993665875
1;2025-04-01;CARNE BOV RSF KG CHULETA;13,578;1263,0;1,075059382422803
1;2025-04-01;CARNE BOV RSF KG CONTRAFILE;4,594;1263,0;0,36373713380839273
1;2025-04-01;CARNE BOV RSF KG COSTELA JANELA;23,828;1263,0;1,8866191607284244
1;2025-04-01;CARNE BOV RSF KG COSTELA S/OSSO;23,508;1263,0;1,8612826603325416
1;2025-04-01;CARNE BOV RSF KG COXAO DE DENTRO;6,327999999999999;1263,0;0,5010292953285826
1;2025-04-01;CARNE BOV RSF KG COXAO DE FORA;9,566;1263,0;0,757403008709422
1;2025-04-01;CARNE BOV RSF KG ENTRANHA;3,4320000000000004;1263,0;0,27173396674584327
1;2025-04-01;CARNE BOV RSF KG ENTRECOT;34,824999999999996;1263,0;2,7573238321456843
1;2025-04-01;CARNE BOV RSF KG ESP NA CHAPA;4,704;1263,0;0,3724465558194774
1;2025-04-01;CARNE BOV RSF KG ESP P/CHURRASCO;48,217999999999996;1263,0;3,8177355502771175
1;2025-04-01;CARNE BOV RSF KG FILE MIGNON;17,054;1263,0;1,35027711797308
1;2025-04-01;CARNE BOV RSF KG FRALDINHA;7,588;1263,0;0,6007917656373714
1;2025-04-01;CARNE BOV RSF KG GRANITO;15,814;1263,0;1,252098178939034
1;2025-04-01;CARNE BOV RSF KG MAMINHA;12,906;1263,0;1,021852731591449
1;2025-04-01;CARNE BOV RSF KG MATAMBRE;6,67;1263,0;0,5281076801266824
1;2025-04-01;CARNE BOV RSF KG MOIDA PRIMEIRA;71,056;1263,0;5,62596991290578
1;2025-04-01;CARNE BOV RSF KG MOIDA SEGUNDA;455,4459999999915;1263,0;36,06064924782197
1;2025-04-01;CARNE BOV RSF KG MUSC DIANTEIRO;9,722;1263,0;0,7697545526524148
1;2025-04-01;CARNE BOV RSF KG PALETA;105,4830000000056;1263,0;8,351781472684529
1;2025-04-01;CARNE BOV RSF KG PATINHO;15,532;1263,0;1,2297703879651622
1;2025-04-01;CARNE BOV RSF KG PEITO;12,974;1263,0;1,027236737925574
1;2025-04-01;CARNE BOV RSF KG PICADO PRIMEIRA;33,196;1263,0;2,6283452098178937
1;2025-04-01;CARNE BOV RSF KG PICANHA;10,236;1263,0;0,8104513064133018
1;2025-04-01;CARNE BOV RSF KG TATU;8,344;1263,0;0,6606492478226444
1;2025-04-01;CARNE BOV RSF KG VAZIO;19,432;1263,0;1,538558986539984
2;2025-04-01;CARNE BOV RSF KG ACEM;16,686;1275,8;1,3078852484715473
2;2025-04-01;CARNE BOV RSF KG AGULHA;96,508;1275,8;7,564508543658881
2;2025-04-01;CARNE BOV RSF KG ALCATRA;9,128;1275,8;0,7154726446151435
2;2025-04-01;CARNE BOV RSF KG APARA DO LOMBO;19,066;1275,8;1,4944348643988086
2;2025-04-01;CARNE BOV RSF KG ASSADO DE TIRAS;55,328;1275,8;4,336729894967864
2;2025-04-01;CARNE BOV RSF KG BANANINHA;8,958;1275,8;0,7021476720489106
2;2025-04-01;CARNE BOV RSF KG BIFE COX DENTRO;48,226;1275,8;3,7800595704655904
2;2025-04-01;CARNE BOV RSF KG BIFE DE ALCATRA;11,469999999999999;1275,8;0,8990437372628939
2;2025-04-01;CARNE BOV RSF KG BIFE DE PATINHO;0,418;1275,8;0,03276375607461985
2;2025-04-01;CARNE BOV RSF KG CAPA COX MOLE;8,915;1275,8;0,6987772378115691
2;2025-04-01;CARNE BOV RSF KG CAPA DE FILE;8,784;1275,8;0,6885091707164133
2;2025-04-01;CARNE BOV RSF KG CHULETA;26,384;1275,8;2,0680357422793545
2;2025-04-01;CARNE BOV RSF KG CONTRAFILE;3,9419999999999997;1275,8;0,3089825991534723
2;2025-04-01;CARNE BOV RSF KG COSTELA JANELA;128,688;1275,8;10,086847468255211
2;2025-04-01;CARNE BOV RSF KG COSTELA S/OSSO;16,848999999993495;1275,8;1,3206615456963078
2;2025-04-01;CARNE BOV RSF KG COXAO DE FORA;4,628;1275,8;0,36275278256780064
2;2025-04-01;CARNE BOV RSF KG ENTRANHA;2,942;1275,8;0,23060040758739617
2;2025-04-01;CARNE BOV RSF KG ENTRECOT;19,792;1275,8;1,5513403354757802
2;2025-04-01;CARNE BOV RSF KG ESP NA CHAPA;4,526;1275,8;0,3547577990280608
2;2025-04-01;CARNE BOV RSF KG ESP P/CHURRASCO;6,248;1275,8;0,489731932904844
2;2025-04-01;CARNE BOV RSF KG FIL-MIGN CORDAO;4,372;1275,8;0,3426869415268851
2;2025-04-01;CARNE BOV RSF KG FILE MIGNON;29,220000000000002;1275,8;2,2903276375607464
2;2025-04-01;CARNE BOV RSF KG FRALDINHA;5,128;1275,8;0,40194387835083867
2;2025-04-01;CARNE BOV RSF KG GRANITO;29,904;1275,8;2,3439410565919423
2;2025-04-01;CARNE BOV RSF KG ISCAS ALCATRA;2,0;1275,8;0,15676438313215238
2;2025-04-01;CARNE BOV RSF KG MAMINHA;5,716;1275,8;0,4480326069916915
2;2025-04-01;CARNE BOV RSF KG MATAMBRE;2,85;1275,8;0,22338924596331713
2;2025-04-01;CARNE BOV RSF KG MOIDA PRIMEIRA;59,61;1275,8;4,672362439253801
2;2025-04-01;CARNE BOV RSF KG MOIDA SEGUNDA;436,23600000000846;1275,8;34,193133720019475
2;2025-04-01;CARNE BOV RSF KG MUSC DIANTEIRO;14,592;1275,8;1,143752939332184
2;2025-04-01;CARNE BOV RSF KG OSSO;4,306;1275,8;0,33751371688352405
2;2025-04-01;CARNE BOV RSF KG PALETA;70,768;1275,8;5,54695093274808
2;2025-04-01;CARNE BOV RSF KG PATINHO;12,99;1275,8;1,0181846684433298
2;2025-04-01;CARNE BOV RSF KG PEITO;10,41;1275,8;0,8159586142028531
2;2025-04-01;CARNE BOV RSF KG PICADO PRIMEIRA;45,586;1275,8;3,5731305847311488
2;2025-04-01;CARNE BOV RSF KG PICANHA;15,704;1275,8;1,2309139363536605
2;2025-04-01;CARNE BOV RSF KG PRIME RIB;1,286;1275,8;0,10079949835397398
2;2025-04-01;CARNE BOV RSF KG SHORT RIB;3,2539999999999996;1275,8;0,2550556513560119
2;2025-04-01;CARNE BOV RSF KG TATU;5,304;1275,8;0,41573914406646817
2;2025-04-01;CARNE BOV RSF KG VAZIO;19,078;1275,8;1,4953754506976014
3;2025-04-02;CARNE BOV RSF KG ACEM;28,812;2511,7;1,147111518095314
3;2025-04-02;CARNE BOV RSF KG AGULHA;302,88;2511,7;12,058764979894097
3;2025-04-02;CARNE BOV RSF KG ALCATRA;12,373999999999999;2511,7;0,49265437751323804
3;2025-04-02;CARNE BOV RSF KG APARA DO LOMBO;65,126;2511,7;2,5929052036469327
3;2025-04-02;CARNE BOV RSF KG ASSADO DE TIRAS;20,008;2511,7;0,7965919496755186
3;2025-04-02;CARNE BOV RSF KG BANANINHA;11,788;2511,7;0,4693235657124657
3;2025-04-02;CARNE BOV RSF KG BIFE COX DENTRO;49,206;2511,7;1,959071545168611
3;2025-04-02;CARNE BOV RSF KG BIFE DE ALCATRA;22,918;2511,7;0,9124497352390811
