"SEQPRODUTO";"DESCCOMPLETA";"QUANTIDADE";"DATA";"HORA";"ENTRADASAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,502;01/04/25;"08:15:33";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,654;01/04/25;"08:21:51";"SAIDA"
"145909";"CARNE BOV RSF KG BIFE COX DENTRO";0,526;01/04/25;"08:27:54";"SAIDA"
"145909";"CARNE BOV RSF KG BIFE COX DENTRO";1,116;01/04/25;"08:29:14";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";1,038;01/04/25;"08:36:56";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";1,052;01/04/25;"08:37:08";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,732;01/04/25;"08:40:13";"SAIDA"
"145907";"CARNE BOV RSF KG ENTRECOT";0,872;01/04/25;"08:44:06";"SAIDA"
"145907";"CARNE BOV RSF KG ENTRECOT";1,186;01/04/25;"08:44:06";"SAIDA"
"145907";"CARNE BOV RSF KG ENTRECOT";1,05;01/04/25;"08:44:06";"SAIDA"
"145905";"CARNE BOV RSF KG CHULETA";1,386;01/04/25;"08:45:09";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";3,98;01/04/25;"08:45:09";"SAIDA"
"145911";"CARNE BOV RSF KG PICADO PRIMEIRA";0,632;01/04/25;"08:49:18";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";2,088;01/04/25;"08:50:11";"SAIDA"
"145913";"CARNE BOV RSF KG BIFE DE ALCATRA";1,202;01/04/25;"08:50:34";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";3,128;01/04/25;"08:54:57";"SAIDA"
"145905";"CARNE BOV RSF KG CHULETA";1,072;01/04/25;"08:54:57";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,456;01/04/25;"08:56:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,334;01/04/25;"08:58:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,47;01/04/25;"08:58:45";"SAIDA"
"145905";"CARNE BOV RSF KG CHULETA";2,282;01/04/25;"09:01:27";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";2,584;01/04/25;"09:06:29";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,49;01/04/25;"09:06:29";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,468;01/04/25;"09:06:29";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,338;01/04/25;"09:07:22";"SAIDA"
"145888";"CARNE BOV RSF KG OSSO";1,952;01/04/25;"09:08:41";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,518;01/04/25;"09:11:35";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,422;01/04/25;"09:12:07";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,296;01/04/25;"09:12:07";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,502;01/04/25;"09:13:46";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,512;01/04/25;"09:13:46";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,464;01/04/25;"09:14:18";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,444;01/04/25;"09:14:18";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,426;01/04/25;"09:14:18";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,46;01/04/25;"09:15:29";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,416;01/04/25;"09:16:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,482;01/04/25;"09:16:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,476;01/04/25;"09:16:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,424;01/04/25;"09:16:34";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";2,058;01/04/25;"09:16:47";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,432;01/04/25;"09:19:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,462;01/04/25;"09:20:23";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,462;01/04/25;"09:20:23";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,458;01/04/25;"09:20:23";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,44;01/04/25;"09:20:23";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,436;01/04/25;"09:25:00";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,43;01/04/25;"09:25:00";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,474;01/04/25;"09:25:00";"SAIDA"
